"","date","area","ws","wd","no2"
"43",2005-06-21 03:00:00,"BLR",1.5,310,18
"44",2005-06-21 04:00:00,"BLR",2.6,290,22
"45",2005-06-21 05:00:00,"BLR",2.6,310,42
"46",2005-06-21 06:00:00,"BLR",2.6,290,42
"47",2005-06-21 07:00:00,"BLR",2.6,300,30
"48",2005-06-21 08:00:00,"BLR",3.1,320,33
"49",2005-06-21 09:00:00,"BLR",3.1,310,40
"50",2005-06-21 10:00:00,"BLR",4.1,300,37
"51",2005-06-21 11:00:00,"CHN",3.1,320,43
"52",2005-06-21 12:00:00,"CHN",3.1,310,66
"53",2005-06-21 13:00:00,"CHN",4.6,260,77
"54",2005-06-21 14:00:00,"CHN",4.6,260,68
"55",2005-06-21 15:00:00,"CHN",5.2,270,50
"56",2005-06-21 16:00:00,"CHN",5.2,270,36
"57",2005-06-21 17:00:00,"CHN",5.2,280,35
"58",2005-06-21 18:00:00,"CHN",4.6,300,25
"59",2005-06-21 19:00:00,"CHN",3.6,300,22
"60",2005-06-21 20:00:00,"CHN",3.6,310,29
"61",2005-06-21 21:00:00,"CHN",2.1,310,44
"62",2005-06-21 22:00:00,"CHN",2.6,290,41
"63",2005-06-21 23:00:00,"CHN",2.6,290,30
"64",2005-06-22 00:00:00,"CHN",2.6,290,37
"65",2005-06-22 01:00:00,"CHN",2.6,290,22
"66",2005-06-22 02:00:00,"CHN",1.5,280,59
"67",2005-06-22 03:00:00,"CHN",1.5,260,38
"68",2005-06-22 04:00:00,"CHN",2.1,260,43
"69",2005-06-22 05:00:00,"CHN",1.5,290,43
"70",2005-06-22 06:00:00,"CHN",1.5,300,132
"71",2005-06-22 07:00:00,"CHN",1,320,127
"72",2005-06-22 08:00:00,"CHN",1.5,250,97
"73",2005-06-22 09:00:00,"CHN",2.1,230,111
"74",2005-06-22 10:00:00,"CHN",3.6,230,128
"75",2005-06-22 11:00:00,"CHN",3.6,220,109
"76",2005-06-22 12:00:00,"CHN",3.6,190,101
"77",2005-06-22 13:00:00,"CHN",3.1,220,139
"78",2005-06-22 14:00:00,"CHN",3.6,230,123
"79",2005-06-22 15:00:00,"CHN",2.6,240,128
"80",2005-06-22 16:00:00,"CHN",2.6,200,135
"81",2005-06-22 17:00:00,"CHN",3.6,190,130
"82",2005-06-22 18:00:00,"CHN",3.6,180,145
"83",2005-06-22 19:00:00,"CHN",4.6,180,89
"84",2005-06-22 20:00:00,"CHN",5.2,180,73
"85",2005-06-22 21:00:00,"CHN",4.6,180,82
"86",2005-06-22 22:00:00,"CHN",3.6,190,83
"87",2005-06-22 23:00:00,"CHN",3.1,210,72
"88",2005-06-23 00:00:00,"CHN",2.1,210,58
"89",2005-06-23 01:00:00,"CHN",2.1,190,46
"90",2005-06-23 02:00:00,"CHN",2.6,180,71
"91",2005-06-23 03:00:00,"CHN",1.5,220,59
"92",2005-06-23 04:00:00,"CHN",1,240,68
"93",2005-06-23 05:00:00,"CHN",1,180,71
"94",2005-06-23 06:00:00,"CHN",1,170,83
"95",2005-06-23 07:00:00,"CHN",1.5,250,156
"96",2005-06-23 08:00:00,"CHN",1.5,260,145
"97",2005-06-23 09:00:00,"CHN",1.5,210,168
"98",2005-06-23 10:00:00,"CHN",2.6,240,175
"99",2005-06-23 11:00:00,"CHN",3.1,220,125
"100",2005-06-23 12:00:00,"CHN",3.1,220,119
